ProductID,Date,StockOnHand,DeliveredQuantity,SalesQuantity,WasteQuantity,Recommended stock Quantity
2148,2022/06/07,14,4,1,0,15
2183,2022/06/07,6,0,1,0,7
2193,2022/06/07,18,15,16,1,34
2237,2022/06/07,8,6,2,0,10
2358,2022/06/07,11,8,9,0,20
2361,2022/06/07,18,7,4,1,22
2445,2022/06/07,16,6,2,0,18
2449,2022/06/07,21,8,7,0,28
2451,2022/06/07,5,0,5,0,10
2475,2022/06/07,10,0,1,0,11
2476,2022/06/07,6,0,3,0,9
2507,2022/06/07,18,12,7,0,25
2525,2022/06/07,6,0,2,0,8
2562,2022/06/07,17,8,8,0,25
2582,2022/06/07,12,4,2,0,14
2586,2022/06/07,21,16,15,0,36
2631,2022/06/07,22,0,6,3,28
2685,2022/06/07,8,8,3,0,11
2723,2022/06/07,8,0,0,0,8
2730,2022/06/07,3,0,1,0,4
2731,2022/06/07,10,0,3,0,13
2732,2022/06/07,10,0,0,0,10
2734,2022/06/07,9,4,1,0,10
2735,2022/06/07,9,8,1,0,10
2761,2022/06/07,23,20,12,0,35
2788,2022/06/07,21,20,11,0,32
2812,2022/06/07,8,0,0,0,8
2813,2022/06/07,11,0,1,0,12
2814,2022/06/07,8,0,0,0,8
2913,2022/06/07,9,0,1,0,10
2914,2022/06/07,7,0,0,0,7
3015,2022/06/07,10,0,1,0,11
3033,2022/06/07,6,0,0,0,6
3035,2022/06/07,9,0,2,0,11
4446,2022/06/07,13,12,12,0,25
12136,2022/06/07,31,24,21,2,52
12516,2022/06/07,8,4,3,0,11
12518,2022/06/07,20,10,2,0,22
12523,2022/06/07,10,0,1,0,11
16062,2022/06/07,6,0,0,0,6
16063,2022/06/07,9,0,0,0,9
19322,2022/06/07,6,0,0,0,6
19329,2022/06/07,13,0,1,0,14
19516,2022/06/07,36,8,6,0,42
19520,2022/06/07,12,8,0,0,12
75,2022/06/08,49,32,38,5,87
76,2022/06/08,49,36,30,1,79
99,2022/06/08,5,0,0,0,5
117,2022/06/08,6,0,2,0,8
118,2022/06/08,7,4,1,0,8
119,2022/06/08,1,0,0,0,1
120,2022/06/08,1,0,1,0,2
149,2022/06/08,5,0,0,0,5
184,2022/06/08,24,12,8,0,32
195,2022/06/08,46,33,28,5,74
218,2022/06/08,24,21,16,7,40
